No;EXPEDIENTE;CODIGO OSINERGMIN;REGISTRO;RUC;RAZON SOCIAL;DIRECCION OPERATIVA;DEPARTAMENTO;PROVINCIA;DISTRITO;TIPO DE ESTABLECIMIENTO;TANQUE 1;TANQUE 2;TANQUE 3;TANQUE 4;TANQUE 5;TANQUE 6;TANQUE 7;TANQUE 8;TANQUE 9;TANQUE 10;CAP.TOTAL CL (gln);FEC. EMISION;TÉRMINO DE VIGENCIA;REPRESENTANTE;GLP EN CILINDROS (kg)
587;1598542;42304;0003-GRIF-15-2006;10152156982;TEOFILO MARCELINO MENDOZA TELLO;AV. HUANUCO N°340 ;LIMA;OYON;OYON;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:1800:GASOLINA 90 ;C1:1800:DIESEL 2 ;C1:1800:DIESEL 2 ;;;;;;;;5400;10/04/2006;INDEFINIDO;MENDOZA TELLO, TEOFILO MARCELINO;0
588;202000057997;109762;109762-050-190520;10334046554;CARLOS EMILIANO SALDAÑA VERASTEGUI;AV. AMAZONAS S/N ;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;ESTACIONES DE SERVICIOS;C1:1000:Diesel B5 S-50 ;C1:500:GASOLINA 90 ;C1:500:GASOLINA 90 ;;;;;;;;2000;19/05/2020;INDEFINIDO;CARLOS EMILIANO SALDAÑA VERÁSTEGUI;720
589;202000061142;18610;18610-050-100620;20526436190;COMBUSTIBLES Y SERVICIOS RAM E.I.R.L.;CARRETERA SECHURA - PIURA KM. 1;PIURA;SECHURA;SECHURA;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:6000:GASOHOL 84 PLUS ;C1:6000:Diesel B5 S-50 ;C1:2020:GASOHOL 90 PLUS ;;;;;;;;14020;10/06/2020;INDEFINIDO;CARLOS ALBERTO ANTON YOVERA;720
590;201700211593;16788;16788-050-211217;20602581331;COMBUSTIBLES EL PUEBLO E.I.R.L.;KM. 4 CARRETERA CHICLAYO - POMALCA;LAMBAYEQUE;CHICLAYO;POMALCA;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:6000:Diesel B5 S-50 ;C1:2000:GASOHOL 90 PLUS ;;;;;;;;;8000;21/12/2017;INDEFINIDO;ROXANA VARGAS INFANTE;0
591;202200200830;165343;165343-050-201222;20607706205;PETRO PAITA S.A.C.;LOTES 15,16 Y 17, ZONA COMERCIAL DE LA ZONA ALTA DE PAITA;PIURA;PAITA;PAITA;ESTACIONES DE SERVICIOS;C1:8000:Diesel B5 S-50 ;C1:5000:GASOHOL 90 PLUS ;C1:5000:GASOHOL 95 PLUS ;C1:3000:Diesel B5 S-50 ;;;;;;;21000;20/12/2022;INDEFINIDO;VICENTE ENRIQUE MARCELO LOAYZA;0
592;201400098786;18416;18416-050-070814;20542684756;GRIFO CORPORACION PETROPOLIS S.A.C. ;CARRETERA JULIACA-CUSCO KM 10.8 ;PUNO;LAMPA;CALAPUJA;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:2500:GASOHOL 84 PLUS ;C1:2500:GASOHOL 90 PLUS ;C1:7000:Diesel B5 S-50 ;C1:2500:GASOHOL 95 PLUS ;;;;;;;14500;7/08/2014;INDEFINIDO;HERNAN MAMANI APAZA;0
593;201900030705;18666;18666-050-260219;10101841524;PALACIOS GAMARRA MILAGRO ISABEL;ESQUINA DE LA AV. CANTA CALLAO Y LOS DOMINICOS MZ. E LOTE 7, URB. LAS BRISAS DE SANTA ROSA;LIMA;LIMA;SAN MARTIN DE PORRES;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:6600:Diesel B5 S-50 ;C1:3300:GASOHOL 90 PLUS C2:3300:GASOHOL 95 PLUS ;;;;;;;;;13200;26/02/2019;INDEFINIDO;PALACIOS GAMARRA MILAGRO ISABEL;0
594;202000158700;109846;109846-050-171120;20606613661;ESTACION DE SERVICIOS CRUZEÑA E.I.R.L.;CALLE RAMON CASTILLA S/N;PIURA;HUANCABAMBA;HUARMACA;ESTACIONES DE SERVICIOS;C1:2000:DIESEL B5 ;C1:3000:GASOHOL 90 PLUS ;C1:5000:Diesel B5 S-50 ;;;;;;;;10000;17/11/2020;INDEFINIDO;ALIDA ZEÑA CARRASCO;720
595;202200244750;166030;166030-050-040123;10338260569;HERNANDEZ VASQUEZ ABAD;CARR. FERNANDO BELAUNDE TERRY KM232 SECTOR SAN ANTONIO;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;ESTACIONES DE SERVICIOS;C1:3670:Diesel B5 S-50 ;C1:2270:GASOLINA 90 ;C1:1110:GASOLINA 95 ;;;;;;;;7050;4/01/2023;INDEFINIDO;ABAD HERNANDEZ VASQUEZ;0
596;202200204822;140992;140992-050-161222;20609790050;GRIFOS WASI E.I.R.L.;JR. SAN MARTIN N° 92;PIURA;HUANCABAMBA;CANCHAQUE;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:2000:Diesel B5 S-50 C2:2000:GASOHOL 90 PLUS ;;;;;;;;;;4000;16/12/2022;INDEFINIDO;FACUNDO TOCTO WALTER;0
597;202200005315;6927;6927-050-080222;10081870557;JORGE AMADO GUTIERREZ ESAINE;AV. MANCO CAPAC N° 375;CAJAMARCA;CAJAMARCA;LOS BAÑOS DEL INCA;ESTACIONES DE SERVICIOS;C1:6000:GASOHOL 84 PLUS ;C1:6000:GASOHOL 90 PLUS ;C1:8000:Diesel B5 S-50 ;C1:8000:Diesel B5 S-50 ;C1:1507:GASOHOL 95 PLUS ;C1:2595:GASOHOL 95 PLUS ;;;;;32102;8/02/2022;INDEFINIDO;JORGE AMADO GUTIERREZ ESAINE;720
598;201900218422;148289;148289-050-030120;20127765279;COESTI S.A.;CARRETERA PANAMERICANA SUR KM. 106 (SUR A NORTE) PREDIO B-SECTOR SARAPAMPA;LIMA;CAÑETE;ASIA;ESTACIONES DE SERVICIOS;C1:10000:Diesel B5 S-50 ;C1:5000:Diesel B5 S-50 C2:5000:GASOHOL 90 PLUS ;C1:4000:GASOHOL 95 PLUS C2:4000:GASOHOL 97 PLUS ;;;;;;;;28000;3/01/2020;INDEFINIDO;CESAR DOMINGO CRUCES LIBERT;0
599;202200159964;117350;117350-050-190822;10422728517;HUAMAN BAEZ FRANKLIN;CARRETERA QUILLABAMBA-CHAHUARES, PREDIO ÑUSTAYOC, SECTOR SAHUAYACO;CUSCO;LA CONVENCION;ECHARATE;ESTACIONES DE SERVICIOS;C1:5260:Diesel B5 S-50 ;C1:3290:GASOHOL 90 PLUS ;C1:2630:GASOHOL 84 PLUS ;C1:1970:GASOHOL 95 PLUS ;;;;;;;13150;19/08/2022;19/08/2023;FRANKLIN HUAMAN BAEZ;0
600;201700024343;107456;107456-050-240217;20529461667;INVERSIONES HUANA HUANA E.I.R.L.;CARRETERA CAJAMARCA – MAGDALENA KM 119 CAS. HUANA HUANA;CAJAMARCA;CAJAMARCA;MAGDALENA;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:4175:DIESEL B5,Diesel B5 S-50 ;C1:575:GASOHOL 90 PLUS C2:575:GASOHOL 90 PLUS ;;;;;;;;;5325;24/02/2017;INDEFINIDO;GABY ANGELINA CENTURION MENDOZA ;720
601;201500163153;114355;114355-050-041215;20600819501;GRUPO SAN MIGUEL SP S.A.C;SECTOR LAS ADELINAS, CARRETERA CAYALTI - ZAÑA;LAMBAYEQUE;CHICLAYO;CAYALTI;ESTACIONES DE SERVICIOS;C1:5000:DIESEL B5 ;C1:3000:GASOHOL 84 PLUS C2:2000:GASOHOL 90 PLUS ;;;;;;;;;10000;4/12/2015;INDEFINIDO;MISAEL MEJIA VARGAS;720
602;202200075462;8943;8943-050-160522;10294445299;JUAN JOSE SALINAS PAREDES;CALLE COLON N° 217;AREQUIPA;AREQUIPA;PAUCARPATA;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:3900:GASOHOL 95 PLUS ;C1:3900:GASOHOL 90 PLUS ;C1:3900:Diesel B5 S-50 ;C1:2700:SIN PRODUCTO ;;;;;;;14400;16/05/2022;INDEFINIDO;JUAN JOSE SALINAS PAREDES;0
