No,EXPEDIENTE,CODIGO OSINERGMIN,REGISTRO,RUC,RAZON SOCIAL,DIRECCION OPERATIVA,DEPARTAMENTO,PROVINCIA,DISTRITO,TIPO DE ESTABLECIMIENTO,TANQUE 1,TANQUE 2,TANQUE 3,TANQUE 4,TANQUE 5,TANQUE 6,TANQUE 7,TANQUE 8,TANQUE 9,TANQUE 10,CAP.TOTAL CL (gln),FEC. EMISION,TÉRMINO DE VIGENCIA,REPRESENTANTE,GLP EN CILINDROS (kg),lat,lng
1413,202200246109,148402,148402-050-071222,20604168822,COMBUSTIBLES LORITO S.C.R.L.,LOTE 4 DE LA MANZANA N° 75 A FRENTE A LA AV BELLAVISTA,HUANUCO,PUERTO INCA,PUERTO INCA,ESTACIONES DE SERVICIOS,C1:5200:GASOHOL 90 PLUS ,C1:5200:Diesel B5 S-50 ,C1:5200:Diesel B5 S-50 ,,,,,,,,15600.0,7/12/2022,7/12/2023,RONAL WILLIAM ESPINOZA RETES,0,-9.3789658,-74.96539659999999
1414,202200165214,151084,151084-050-200922,10287063143,EFROCINIA BAUTISTA CASTRO,ESQUINA AV. ABANCAY CON JR. LA LIBERTAD - COMUNIDAD SECTOR ENE,JUNIN,SATIPO,RIO TAMBO,ESTACIONES DE SERVICIOS,C1:12000:Diesel B5 S-50 ,C1:12000:GASOHOL 90 PLUS ,C1:6000:GASOHOL 84 PLUS C2:6000:GASOHOL 95 PLUS ,,,,,,,,36000.0,19/09/2022,20/09/2023,EFROCINIA BAUTISTA CASTRO,0,-11.70197029663586,-74.07691640517913
1415,201900083690,137413,137413-050-280519,10251895681,LUISA MENDOZA MAMANI ,PREDIO CCHUCUMAYO DE LA PARCIALIDAD DE CHACACHIMPA ,CUSCO,QUISPICANCHI,OCONGATE,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:9220:Diesel B5 S-50 ,C1:5350:GASOHOL 84 PLUS C2:5350:GASOHOL 90 PLUS ,,,,,,,,,19920.0,28/05/2019,INDEFINIDO,LUISA MENDOZA MAMANI ,0,-13.6294962,-71.385252
1416,201300136024,42094,0006-GRIF-17-2005,20527008841,REPUESTOS MIAMI S.R.L,AV. PROLONGACION INAMBARI S/N,MADRE DE DIOS,TAMBOPATA,INAMBARI,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:5200:null ,C1:2600:null C2:2600:null ,C1:7200:null ,,,,,,,,17600.0,28/08/2013,INDEFINIDO,"MAYTA GARCIA, DE GARATE LUCILA",0,-13.0137323,-69.9550338
1417,202300086198,8889,8889-050-210423,20449461224,RIMASSA S.A.C.,CALLE ARIAS ARAGUEZ N° 620 ESQ. AV. LEGUIA S/N ,TACNA,TACNA,TACNA,ESTACIONES DE SERVICIOS,C1:4000:GASOHOL PREMIUM ,C1:4000:GASOHOL REGULAR ,C1:3600:GASOHOL REGULAR ,C1:6245:Diesel B5 S-50 ,C1:3900:Diesel B5 S-50 ,C1:3200:GASOHOL REGULAR ,,,,,24945.0,21/04/2023,INDEFINIDO,MARIELLA MIRANDA RIMASSA DE SANTA MARIA,0,-18.008564,-70.2514632
1418,202000117188,37654,37654-050-090920,20549450785,INVERSIONES GOLD STAR E.I.R.L.,AV. TUPAC AMARU KM. 17.5 MZ. B1 LT. 1-3 ASOC. DE VIVIENDA SANTA ROSA DE PUNCHAUCA,LIMA,LIMA,CARABAYLLO,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:5200:Diesel B5 S-50 ,C1:3000:GASOHOL 95 PLUS C2:2200:GASOHOL 90 PLUS ,C1:2000:GASOHOL 98 PLUS ,,,,,,,,12400.0,9/09/2020,INDEFINIDO,MORAYMA IRENE ARCE ALFARO,0,-11.891281,-77.0276947
1419,202200135329,123142,123142-050-030822,10286860236,ALONSO MARQUEZ BAUTISTA,"AV. SANTA ROSA S/N SECTOR BARRIO MIRAFLORES MZ. A5 LOTES 8, 9 Y 10",AYACUCHO,LA MAR,AYNA,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:2000:Diesel B5 S-50 ,C1:2000:GASOHOL 90 PLUS ,,,,,,,,,4000.0,3/08/2022,3/08/2023,ALONSO MARQUEZ BAUTISTA,0,-12.7389848,-73.86542949999999
1420,201700092747,8346,8346-050-150617,20285579814,ESTACION DE SERVICIOS PASTOR S.R.LTDA.,CARRETERA HUANUCO-TINGO MARIA KM. I.5 URB. LOS PORTALES DE MITOPAMPA,HUANUCO,HUANUCO,AMARILIS,ESTACIONES DE SERVICIOS,C1:8000:Diesel B5 S-50 ,C1:8000:GASOHOL 90 PLUS ,C1:4000:Diesel B5 S-50 ,C1:4000:GASOHOL 95 PLUS ,C1:4000:GASOHOL 97 PLUS ,,,,,,28000.0,15/06/2017,INDEFINIDO,ELVA AUDINA MATUTE PALACIOS DE PASTOR,720,-9.8996961,-76.2229485
1421,201700019102,126476,126476-050-210217,10412438456,WILSON MEDINA PACORI,ESMERALDA FUNDO CHILLAHUI URB.CHILLUMO CARRETERA INTEROCEANICA KM. 101+ 830 - SAN ANTON,PUNO,AZANGARO,SAN ANTON,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:4500:Diesel B5 S-50 ,C1:4500:Diesel B5 S-50 ,C1:3000:GASOHOL 84 PLUS ,C1:3000:GASOHOL 90 PLUS ,,,,,,,15000.0,21/02/2017,INDEFINIDO,WILSON MEDINA PACORI,0,-14.5837071,-70.3164785
1422,202100232714,102300,102300-050-251021,20608545361,DEL CARPIO COMPANY S.A.C.,"CALLE PRINCIPAL MZ. D, LOTE 02,NUEVA EXPANSION URBANA-PARTE ALTA.",MADRE DE DIOS,MANU,HUEPETUHE,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:10648:Diesel B5 S-50 ,C1:10649:Diesel B5 S-50 ,,,,,,,,,21297.0,25/10/2021,INDEFINIDO,VALENTIN RONALD DEL CARPIO GUZMAN,0,-13.0258926,-70.6692655
1423,201900180401,84873,84873-050-111119,20494800323,NEGOCIACIONES SHALOM S.R.L.,"ESQ. DE LA VIA EVITAMIENTO CON LA AV. JAVIER PEREZ DE CUELLAR, MZ. Q2 LOTE 14",AYACUCHO,HUAMANGA,AYACUCHO,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:4000:Diesel B5 S-50 ,C1:1500:GASOHOL 95 PLUS C2:2500:GASOHOL 90 PLUS ,,,,,,,,,8000.0,11/11/2019,INDEFINIDO,ALBERTO TINEO MITMA,0,-13.1352204,-74.2288459
1424,201900204070,16645,16645-050-091219,20127765279,COESTI S.A.,AV. SAN LUIS Nº 2480,LIMA,LIMA,SAN BORJA,ESTACIONES DE SERVICIOS,C1:5000:GASOHOL 95 PLUS ,C1:5000:GASOHOL 90 PLUS ,C1:5000:GASOHOL 97 PLUS ,C1:5000:Diesel B5 S-50 ,,,,,,,20000.0,9/12/2019,INDEFINIDO,ABRAHAM HUGO CALDERON MAVILA,240,-12.0982987,-76.9952222
1425,202300065101,148279,148279-050-060423,20605021981,ESTACION DE SERVICIOS ANDERS E.I.R.L.,"PREDIOS DENOMINADOS QUINSA CCOCHA CCOCHA PAMPA, COMUNIDAD ANTAYCAMA ANEXO ICHULAHUA",CUSCO,ESPINAR,PALLPATA,ESTACIONES DE SERVICIOS,C1:9200:Diesel B5 S-50 ,C1:5000:GASOHOL REGULAR ,C1:3000:GASOHOL PREMIUM C2:2000:GASOHOL REGULAR ,,,,,,,,19200.0,6/04/2023,INDEFINIDO,ORLANDO LAROTA HUARCA ,0,-14.9213399,-71.0497768
1426,202200231078,159399,159399-050-251122,20608909916,EMPRESA DE SERVICIOS VIVA S.A.C.,CARRETERA FERNANDO BELAUNDE TERRY KM. 198 + 817 - CASERÍO SIEMPRE VIVA,AMAZONAS,UTCUBAMBA,EL MILAGRO,ESTACIONES DE SERVICIOS,C1:10000:Diesel B5 S-50 ,C1:5000:Diesel B5 S-50 C2:5000:GASOLINA 95 ,C1:10000:GASOLINA 90 ,,,,,,,,30000.0,25/11/2022,INDEFINIDO,DIAZ TARRILLO ANA CRISTINA,0,-5.747419499999999,-78.6683383
1427,202300065539,8950,8950-050-170423,10205858615,ALHUAY VIVANCO CLAUDIO FLORENCIO,AV. MARGINAL N° 105 - ZONA BAJA,JUNIN,CHANCHAMAYO,PICHANAQUI,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:5000:GASOHOL REGULAR ,C1:6000:Diesel B5 S-50 ,C1:2000:GASOHOL PREMIUM C2:2000:SIN PRODUCTO ,,,,,,,,15000.0,17/04/2023,INDEFINIDO,ALHUAY VIVANCO CLAUDIO FLORENCIO,0,-10.9249329,-74.8760878
1428,201600180801,16602,16602-050-111216,20503840121,REPSOL COMERCIAL S.A.C,AV. PASEO DE LA REPUBLICA INTERSECCION CON LA AV. ANGAMOS N° 498,LIMA,LIMA,MIRAFLORES,ESTACIONES DE SERVICIOS,C1:5200:GASOHOL 98 PLUS ,C1:10400:GASOHOL 95 PLUS ,C1:10400:GASOHOL 90 PLUS ,C1:10400:Diesel B5 S-50 ,,,,,,,36400.0,11/12/2016,INDEFINIDO,CARMEN TERESA REVERDITTO REYES,0,-12.1138034,-77.0265017
1429,202000036915,138461,138461-050-170320,20533633693,EMPRESA DE TRANSPORTES SHASHO S.R.L.,CARRETERA HUARAZ – CASMA CASERÍO CACHIPAMPA,ANCASH,CASMA,YAUTAN,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:6000:Diesel B5 S-50 ,C1:2000:GASOHOL 90 PLUS C2:2000:GASOHOL 95 PLUS ,,,,,,,,,10000.0,17/03/2020,INDEFINIDO,ERIKA YOVANA LLALLIHUAMAN SANCHEZ,0,-9.4718308,-78.3006626
1430,201900025150,141198,141198-050-140219,20602822100,PETRO MOTORS E.I.R.L.,"PREDIO TONGOBAMBA, CARRETERA CUSCO - SICUANI, SECTOR SUMAC TTICA ",CUSCO,QUISPICANCHI,LUCRE,ESTACIONES DE SERVICIOS,C1:9252:GASOHOL 95 PLUS ,C1:9252:GASOHOL 90 PLUS ,C1:9252:GASOHOL 84 PLUS ,C1:9252:Diesel B5 S-50 ,C1:9252:Diesel B5 S-50 ,C1:9252:Diesel B5 S-50 ,C1:9252:Diesel B5 S-50 ,,,,64764.0,14/02/2019,INDEFINIDO,JOSE AIMITUMA CONTO ,0,-13.6074704,-71.74182809999999
1431,201900096833,117936,117936-050-210619,20600808134,GRIFO TEODOLINDA E.I.R.L.,"CARRETERA PANAMERICANA NORTE, LA PALMA, SECTOR PAMPA VELARDE",LIMA,BARRANCA,SUPE PUERTO,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:5000:Diesel B5 S-50 ,C1:3000:GASOHOL 90 PLUS ,C1:2000:GASOHOL 95 PLUS ,,,,,,,,10000.0,21/06/2019,INDEFINIDO,IVAN JESUS CRUZ ROSALES,0,-7.838863,-79.1526054
